								
"ATHN"	70.82	"3/2/2012"	"4:00pm"	-0.04	70.865	71.41	70.5275	419642
"ATHX"	2.03	"3/2/2012"	"3:59pm"	-0.09	2.04	2.12	2	64383
"ATLO"	19.11	"3/2/2012"	"4:00pm"	-1.91	21.14	21.14	19.06	12755
"ATMI"	21.7	"3/2/2012"	"4:00pm"	-0.39	22.16	22.36	21.48	228988
"ATML"	10.25	"3/2/2012"	"4:00pm"	-0.17	10.32	10.45	10.08	6217459
"ATNI"	35.02	"3/2/2012"	"4:00pm"	-2.64	37.46	37.46	34.54	40557
"ATNY"	3.72	"3/2/2012"	"11:57am"	-0.05	3.77	3.83	3.72	1138
"ATPG"	8.61	"3/2/2012"	"4:00pm"	0.57	8.05	9.5	7.879	9947667
"ATRC"	9.78	"3/2/2012"	"4:00pm"	-0.54	10.3	10.5	9.75	100735
"ATRI"	199	"3/2/2012"	"4:00pm"	-2	201.3	201.64	199	25599
"ATRM"	0.83	"3/2/2012"	"3:59pm"	0.0098	0.8499	0.85	0.81	31400
"ATRO"	33	"3/2/2012"	"4:00pm"	0.15	32.75	33.46	31.1	151800
"ATSG"	5.4	"3/2/2012"	"4:00pm"	-0.22	5.67	5.78	5.4	194471
"ATVI"	11.67	"3/2/2012"	"4:00pm"	-0.01	11.7	11.73	11.58	12469028
"ATX"	11.03	"3/2/2012"	"4:00pm"	0.68	10.37	11.06	10.3	84323
"AUBN"	21.25	"3/1/2012"	"3:41pm"	0	"N/A"	"N/A"	"N/A"	0
"AUDC"	3.5	"3/2/2012"	"4:00pm"	0	3.52	3.58	3.4	63540
"AUTH"	3.43	"3/2/2012"	"4:00pm"	-0.04	3.5	3.569	3.41	104057
"AUXL"	20.45	"3/2/2012"	"4:00pm"	0.3	20.65	21.25	20.13	460788
"AVAV"	27.86	"3/2/2012"	"4:00pm"	-0.86	28.84	28.84	27.57	297137
"AVCA"	6.05	"3/2/2012"	"3:46pm"	-0.15	6.18	6.18	6.02	1800
