item;price;unit price
BIO saumon fumé 160 g;7.95;49.69 /KG
BIO saumon fumé irlande 160g;9.45;59.06 /KG
BIO Spaghetti bolognese   350g;2.5;7.14 /KG
Bio Tofu natur Taifun   200g;1.29;6.45 /KG
BIO Wiener   7x30g;2.65;12.62 /KG
Biog beurre 250g;2.69;10.76 /KG
Biog lait bio uht 1.5% 1l;1.49;1.49 /L
Biog lait bio uht 1.5% 6x1l;8.94;1.49 /L
Bisque de homard 600ml;5.7;9.50 /KG
Blanc de poulet + riz et curry  390g;3.95;10.13 /KG
Blanquette de veau avec os   +/- 600g;5.76;9.60 /KG
Blanquette de veau sans os   +/- 300g;4.01;13.35 /KG
Bouchées rondes 6 pièces  150g;1.29;8.60 /KG
Boulettes tomate + casarecce 500g;6.15;12.30 /KG
Bouneschlupp  Production maison Schnékert  600ml;4.6;7.67 /L
Brach lait caille 250g;1.26;5.04 /KG
Bridelight Crème chantilly en bombe 11.5%   250ml;2.18;8.72 /KG
Britt vum Haff  Production maison Schnékert  600ml;5.7;9.50 /L
Brocoli  Bouquet de +/- 400g;1.14;1.14 /KG
Cacciatore mac fine   150g;3.25;21.67 /KG
Cactus saumon fumé sauvage alaska 80g;3.95;49.38 /KG
Caffé Latté Cappuccino  230ml;1.56;6.78 /L
Caffe latte macchiato 230ml;1.56;6.78 /L
Cake au chocolat  300g;3.95;13.17 /KG
Cake marbré  300g;3.95;13.17 /KG
Cake nature  300g;3.95;13.17 /KG
Cambozola 70% (42%) 150g;2.15;14.33 /KG
Camembert 45% (20%) 250g;1.6;6.40 /KG
Camembert 45% (21%) 250g;1.95;7.80 /KG
Camembert 8/8 45% (21%) 250g;2.22;8.88 /KG
Camembert bio 45%(20%) 250g;2.49;9.96 /KG
Cannelloni bolognaise 500g;5.5;11.00 /KG
Capelletti au jambon  250g;3.19;12.76 /KG
Cappelleti crème/jambon 500g;5.5;11.00 /KG
Cappelletti Proscuito  250g;2.76;11.04 /KG
Cappelletti sauce bolognaise 500g;5.5;11.00 /KG
Caprice des anges 71%(26%) 200g;2.4;12.00 /KG
Caprice des dieux 60%(31%)  200g;2.86;14.30 /KG
Carbonnades de boeuf avec pommes de terres  500g;5.65;11.30 /KG
Carottes  Sachet 5kg;3.25;3.25 /PC
Carottes / citron   180g;1.15;6.39 /KG
Carottes râpées 250 g;1.49;5.96 /KG
Carottes sachet 1 kg;0.68;0.68 /KG
Carré de porc sans os   +/- 500g;5.08;10.15 /KG
Cass. lim/ecr pomme duche;6.95;18.29 /KG
Céleri râpé 250 g;2.18;8.72 /KG
Champignons blancs 250 g;1.18;4.72 /KG
Chaources aop 50% (22%) 250g;3.78;15.12 /KG
Chaumes grand caractère 58%(27%) 150g;2.98;19.87 /KG
Chausson de volaille 2x150g;6.5;21.67 /KG
Chavroux 45%(12%) 150g;2.59;17.27 /KG
Chavroux tendre bûche 60%(28%) 150g;2.59;17.27 /KG
Cheddar mild 51% (32%) 250g;2.94;11.76 /KG
Cheesburger   2 pièces   150g;1.85;6.17 /KG
Chickenburger   2 pièces  135g;1.95;7.22 /KG
Chou-fleur pièce;1.98;1.98 /PC
Choux de Bruxelles filet +/- 500 g;2.94;2.94 /PC
Citron pièce;0.39;0.39 /PC
Clémentine.Nadorcott   filet 1.5kg;3.98;3.98 /PC
Coco cubes sachet 175 g;2.24;2.24 /PC
Coeur de lion brie 50% (25%) 200g;1.84;9.20 /KG
Coeur saumon fumé 250g;9.55;38.20 /KG
Comté plaquette aop 45% 250g;3.85;15.40 /KG
Concombre 400 / 500 g pièce;0.98;0.98 /PC
Cordon bleu haché  2 pièces  +/- 280g;2.48;8.85 /KG
Cordon bleu véritable de porc  2 pièces  +/- 320g;3.14;9.80 /KG
Côte collet dressé de porc  2 pièces  +/- 300g;1.92;6.40 /KG
Côte de porc en gelée  180g;2.75;15.28 /KG
Cottage cheese 28% (7.5%) 500g;2.99;5.98 /KG
Courgettes 3 pièces;1.25;1.25 /PC
Couronne pick&dip 130g sauce cocktail;5.2;40.00 /KG
Crème à café 10% 10x10g;0.44;4.40 /KG
Crème café  170g;0.84;4.94 /KG
Crème Chocolat maxi  4X100g;1.85;4.63 /KG
Crème de Potiron  Production maison Schnékert  600ml;4.6;7.67 /L
Crème extra-légère  170g;0.72;4.24 /KG
Crème fraÎche 15% 200g;0.85;4.25 /KG
Crème fraÎche épaisse 33% 250g;2.04;8.16 /KG
Crème fraÎche liquide 33% 25cl;1.41;5.64 /L
Crème fraÎche liquide 36% 1/2l;2.45;4.90 /L
Crème liquide UHT 5%   25cl bouteille;1.16;4.64 /L
Crème uht 30% 200ml;1.12;5.60 /L
Crème UHT extra légère 5%   25cl bouteille;1.6;6.40 /L
Crème uht souple 12% 200ml;0.89;4.45 /L
Crémier de Chaumes 50%(23%) 250g;3.59;14.36 /KG
Crêpes  9p 500g;1.69;3.38 /KG
Crevettes grises deco 100 g;3.1;31.00 /KG
Crevettes rose A queue 150g;4.25;28.33 /KG
Crevettes roses extra A 200 g;5.3;26.50 /KG
Crevettes roses extra B 200 g;4.95;24.75 /KG
Croque monsieur   200g;2.6;13.00 /KG
Crottin chavignol aop 45% 60g;1.94;32.33 /KG
Cuisse de poulet  2 pièces  +/- 375g;2.42;6.45 /KG
Curry King   220g;2.15;9.77 /KG
Danacol 0% fraise 6x100g;4.52;7.53 /KG
Danette  choc/van. 4x125g;1.92;3.84 /KG
Danette chocolat 4x125g;1.59;3.18 /KG
Danette vanille 4x125g;1.59;3.18 /KG
Danio fromage frais ananas 180g;1.07;5.94 /KG
Danio fromage frais exotique 180g;1.07;5.94 /KG
Danio fromage frais fraises 180g;1.07;5.94 /KG
Danio fromage frais pêches 180g;1.07;5.94 /KG
Danio fromage frais vanille 180g;1.07;5.94 /KG
Datte medjoul   sachet 225g;3.78;15.12 /KG
Délices de poulet nature   250g;3.35;13.40 /KG
Delizia cafe 100g;1.83;18.30 /KG
Delizia chocolat 100g;1.83;18.30 /KG
Dessert chocolat 4x125g;1.8;3.60 /KG
Disney Mickey yaourt panaché 4x125g;2.18;4.36 /KG
Echalotes 500 g;1.28;2.56 /KG
Ecke des Monats 150g;0.69;4.60 /KG
Eclairs au Mocca  2 pièces;2.3;11.50 /KG
Eclairs aux chocolats  2 pièces;2.3;11.50 /KG
Eclairs Vanille  2 pièces;2.3;11.50 /KG
Edamer Wurscht  2 pièces  +/- 220g;2.22;10.10 /KG
Emmental rapé 45% (28%) 350g;4.19;11.97 /KG
Emmental rapé 45% (31%) 200g;1.99;9.95 /KG
Emmental Suisse rapé 45% (31%)   100g;1.39;13.90 /KG
Emmental tranches 45% (28%)   200g;2.76;13.80 /KG
Emmentaler en tranches 45%  150g;1.39;9.27 /KG
Escalope de dinde  2 pièces  +/- 250g;3.34;13.35 /KG
Escalope de veau  2 pièces  +/- 250g;5.34;21.35 /KG
Fair Mëllech lait UHT 3.5%   1l;1.09;1.09 /L
Fair Mëllech Lait UHT 3.5%  6x1l;6.54;1.09 /L
Farmersteak  1 pièce  +/- 200g;3.26;16.30 /KG
Figues enfarinées sachet 225 g;3.24;3.24 /PC
Figues natures sachet 225 g;3.24;3.24 /PC
Filet américain   +/- 400g;3.16;7.90 /KG
Filet de poulet  2 pièces  +/- 260g;3.37;12.95 /KG
Filet de poulet jambon/fromage   2x125g;3.6;14.40 /KG
Filet de truite fumé 125g;4.4;35.20 /KG
Filet panga noix coco 1kg pauvre en aret;14.95;14.95 /KG
Filet truite fumé gelee 215g;9.75;45.35 /KG
Filet truite fumé our 140g;5.1;36.43 /KG
Fjord nature 4x125g;2.26;4.52 /KG
Flan vanille/caramel 4x100g;2.03;5.08 /KG
Fleischsalatcreme 400g;1.92;4.80 /KG
Fol epi tranches 50% (27%) 150g;2.66;17.73 /KG
Fondue bourguignonne   +/- 500g;9.38;18.75 /KG
Fondue suisse snack 150g;2.19;14.60 /KG
Fraises barquette 250g;1.38;1.38 /PC
Fraises moelleuses sachets 225 g;5.24;5.24 /PC
Framboises barquette 125 g;2.98;23.84 /KG
Frësch Eer vu Michela  taille L   6 pièces;1.55;1.55 /PC
Frikadellen   5 pièces  500g;2.7;5.40 /KG
Fromage à  Fondue 40%  800g;8.49;10.61 /KG
Fromage blanc 0% (0.2%) 250g;1.32;5.28 /KG
Fromage blanc o% (0.2%) 500g;2.16;4.32 /KG
Fromage cuit bloc 0.7% 500g;4.25;8.50 /KG
Fromage fondu en barquette 60% (30%)  200g;2.38;11.90 /KG
Fromage fondu jambon en barquette 30%   200g;2.26;11.30 /KG
Fromage fondu light  en barquette (7%)  200g";2.54;12.70 /KG
Fromage fondu nature allégé en barquette 10%   200g;1.91;9.55 /KG
Fromage fondu suisse en portions sélection 45%  12 pièces - 170g;3.08;18.12 /KG
Fromage frais 40% (10%) 500g;2.85;5.70 /KG
Fromage frais Ail & herbes 70% (41%)   150g;1.91;12.73 /KG
Fromage frais Ail&herbes 70% (41%)   6x16g;1.89;19.69 /KG
Fromage frais aux Herbes 70% (24%)   175g;1.68;9.60 /KG
Fromage frais Balance natur 42% (12%)   175g;1.68;9.60 /KG
Fromage frais Light herbes 41% (12%)   175g;1.68;9.60 /KG
Fromage frais Mini nature 70% (24%)   4x35g;2.16;15.43 /KG
Fromage frais Nature 70% (24%)   175g;1.68;9.60 /KG
Fromage frais Poivre 70% (41%)   150g;2.25;15.00 /KG
Funny yaourts fraise   4x125g;2.15;4.30 /KG
Gelée de porcelet  300g;3.45;11.50 /KG
Gervais à boire fraise 6x100ml;3.15;5.25 /L
Gervais fromage frais 45%  panache   12x50g;2.56;4.27 /KG
Gervais fromage frais maxi  fraise 45%   6x100g;2.72;4.53 /KG
Gervais suisses maigres 30%(6%) 6x60g;1.7;4.72 /KG
Gnocchi  500g;2.9;5.80 /KG
Gnocchi 500g;3.05;6.10 /KG
Gorgonzola cremoso 28% 150g;3.14;20.93 /KG
Gouda en tranches 45%  150g;1.39;9.27 /KG
